start	end	text
0	4880	and try to follow along with the steps provided.
4880	9240	So after you've done all of this,
9240	12960	you should be able to be anywhere on your computer
12960	15840	and just say Flutter doctor.
15840	18720	Now Flutter doctor is a very important command
18720	21640	because it looks at your Flutter installation
21640	25360	and it kind of makes sure that it's in good health,
25360	27920	as denoted by the word doctor.
28440	32040	So because Flutter in itself is a framework
32040	35440	and it depends on many other bits and pieces
35440	37340	which your computer may need to have
37340	40420	in order for Flutter to actually work optimally,
42640	45420	Flutter doctor will then go through a series of steps
45420	48040	to ensure that first Flutter is updated
48040	51920	and that you for instance have Android tool chain
51920	55480	that you have Xcode installed, Chrome, blah, blah.
55480	60480	So I mean, this result at the moment
60520	62160	looks quite fine on my computer,
62160	63640	but if you're running Flutter doctor
63640	64900	for the first time on your computer,
64900	67400	you may get a few problems.
67400	69560	Some of the problems that you will experience probably
69560	72920	is gonna say Android SDK couldn't be found,
72920	75040	Xcode couldn't be found,
75040	78320	because if you're running Flutter on a Windows machine
78320	81000	or a Linux machine, then you can't have Xcode.
81000	84760	Xcode is like the software provided by Apple.
85760	88560	And only runs unfortunately on Mac OS
88560	93560	and it's used for compiling or creating Mac OS,
96560	100040	iOS and iPad OS pieces of software.
100040	103640	So although you can run Flutter on your Linux
103640	107520	and on your Windows machine without a problem,
107520	112520	you won't be able to produce or test your Flutter code
113000	115440	running on an iPhone, unfortunately,
115440	119320	unless you have access to Xcode.
120200	122760	And the easiest way to get access to that is of course,
122760	123800	to have a Macintosh.
123800	127720	And that's unfortunate because yeah,
127720	130640	it's just not available for other platforms.
132160	137160	So you've run Flutter doctor and it's basically gonna tell you
137880	140880	that, okay, now I'm gonna assume that you're on a Macintosh.
140880	143920	It's gonna tell you that, okay, Xcode, for instance,
143920	145240	you need to install Xcode.
145240	148240	And the way to do that is you need to open App Store
148240	151200	on your computer and just type Xcode here
152360	155360	and go and install Xcode on your computer.
157640	160000	So depending on, I don't know which version
160000	161080	is the latest at the moment,
161080	164760	but if you're trying to develop Flutter app to be able
164880	167880	to run on your iOS phone or the iOS simulator,
167880	169440	then you need to install Xcode.
169440	171200	If you're on a Macintosh, sorry,
171200	173480	if you're on a Linux computer or Windows,
173480	174800	you don't have to do this step.
174800	177160	Actually, you can't do unfortunately this step.
179720	181760	So once you've done that,
181760	186760	you also need to make sure that you've installed
187840	190720	developer tools for Xcode.
190720	192920	So you need to install Xcode.
193200	194880	Developer tools for Xcode.
194880	196480	So let's see how we can do that.
196480	198680	Developer tools, Xcode.
200560	202440	Command line tools, right.
204560	208240	Let's see, install from terminal,
208240	211880	there's a command that you can execute in order to do that.
211880	214200	And that command actually looks like this.
216120	220720	Here, I will zoom into it so you can see better.
221320	225760	It says sudo xcode select install.
225760	228480	So you need to issue that command in your terminal.
228480	230960	So if I do that and it says, what's the password,
230960	234440	I'll enter my password and it says they're already installed.
234440	236600	So if you haven't done that,
236600	238600	please go ahead and execute this command
238600	242760	in order to install command line tools for your Xcode.
244880	249360	Now, the next piece after Xcode that you will need is
251080	253960	let's see if I can actually bring up.
253960	255440	So we've talked about Flutter Doctor,
255440	256480	that was Flutter Doctor.
256480	258640	And we also talked about installing Xcode.
258640	260880	So I'm now bringing that up a little bit late.
261800	265600	But now the next step is to install Android Studio.
267040	271400	So what Android Studio is, is like the equivalent of Xcode,
271400	274720	but for writing Android specific applications.
274720	278160	Now, in order to write Flutter applications,
278160	280760	you don't need Android Studio per se,
280760	284040	but you kind of need the SDK manager.
284040	287640	Now, both iOS and Android,
289920	292720	for programmers, they provide you with something called an SDK,
292720	295080	just like Flutter is an SDK or toolkit.
296000	298440	iOS and Android also provide you with SDK
298440	301040	in order to write native applications.
301040	305360	And since Flutter utilizes these native capabilities
305360	307160	of each platform in order to, for instance,
307160	310400	create an application that's compatible with iOS or Android,
311640	316040	it will utilize the native components, sorry,
316040	318000	or the native pieces of software,
318000	321400	namely called Xcode, sorry,
321400	325200	namely called iOS SDK and Android SDK.
325200	327840	So you need to download Android Studio
327840	329560	so you get access to the SDK manager
329560	331920	so you can install an Android SDK.
331920	333720	Now, Xcode in itself,
333720	335480	when you download the latest version of Xcode,
335480	339000	it comes with the latest version of the iOS SDK,
339000	341280	but Android Studio doesn't do that.
341280	342120	Well, wait a minute.
342120	344000	Yeah, it probably does in the latest versions,
344000	345800	but we can check that out.
345800	348400	So if you go to your browser and just say Android Studio,
349840	352560	and then you open up developerandroid.com.
352560	353600	Let's just go there.
354920	358440	And then you can just click on download Android Studio,
358440	359960	and then there are download options,
359960	363760	and you can see there's available for Windows, Mac, and Linux.
363760	368760	So then please go ahead and download your Android Studio,
369680	372920	and I can see for Macintosh is a package,
372920	374120	so you can install it easily.
374120	375560	You don't have to unzip anything,
375560	378080	and for Windows is also like an executable,
378080	381000	so tar.gz as well for Linux.
381000	384680	So now let's say that you've done that.
384680	386640	Now, after doing that,
386640	389680	then you should be able to bring up Android Studio.
391600	392440	Let's see.
394560	396160	I'll bring it up here.
397320	400200	Now, when you bring up your Android Studio,
400200	403760	it will just pretty much be empty here on the screen,
403760	405240	and you'll get some tips and tricks
405240	406400	how to use Android Studio.
406400	408000	But the important thing for you here
408000	413000	is to be able to install the Android SDK.
414200	417160	So if you go then to tools,
417160	420000	I believe there is an SDK manager right here.
421000	425560	So just ensure that you have an SDK installed.
425560	428600	For me, I have Android 12 installed here.
428600	430800	So ensure that you have one of these SDKs
430800	434360	ready for you to use by Flutter.
435280	436720	And as soon as you've done that,
436720	441720	then when you run then your Flutter doctor command,
442560	447560	then the part about Android SDK is going to be ticked here.
449960	451440	Sorry, the Android Studio.
452480	453320	So that's that.
453320	455120	So we've talked about the Android tool chain,
455120	457400	which is the Android SDK you can see.
457400	458720	We've talked about Xcode.
458720	460120	Chrome is just a web browser.
460120	461400	If you want, you can have that.
461400	464520	If you're developing Flutter applications for the web,
464520	466160	it kinda is necessary.
468520	470000	And then you can run Flutter.
470960	473520	And then this, you're probably,
473520	475560	if you're just getting started with Flutter,
475560	478120	you're not gonna have this VS Code part ticked
478120	481720	because VS Code is a code editor,
481720	486200	an open source code editor provided by Microsoft.
487280	489240	And it is the code editor
489240	491880	that I'm gonna use for the entire course,
491880	494200	for this entire course as we go on.
494200	495160	And to be honest with you,
495160	496520	I've tried Android Studio
496520	498560	and I've tried VS Code for Flutter development
498560	501280	and I can highly recommend that you use VS Code
501280	504040	just for its sheer performance,
504040	507440	it's for its simplicity, extensions,
507440	512440	and its ability just to really focus on a simple editor
512920	515120	without bothering you with lots of bells and whistles.
515120	517320	So it's a preference though.
517320	519960	Some people use Android Studio for Flutter development
519960	521320	and some people use VS Code.
521320	524440	So I don't think one is better than the other.
524440	525920	It's completely a preference.
525920	530920	So that's for Android Studio and the Android SDK.
531120	535080	So now let's go ahead and install Visual Studio Code,
535080	537880	which is the tool that I'm gonna use for this course.
537880	540520	So let's bring up a new window
540520	544480	and I'm gonna say, install Visual Studio Code.
544480	547480	And I'm gonna bring the window up here so you see.
547480	551920	Let's go here and you can download the one that you prefer
551920	554160	for your computer, I've chosen Mac.
554160	555840	And for me specifically,
555840	557720	I have a Macintosh with an Apple Silicon.
557720	560960	So I then choose this one Mac with an Apple Silicon
560960	563240	and then it's gonna download that for you automatically.
563240	565880	So it's just about 200 megabytes, I think,
565880	567880	or actually 100 megabyte only.
567880	570400	After you've done that just on a Macintosh,
570400	575400	you would go and put that on in your applications folder.
577080	579320	So I'm actually gonna delete that,
579320	580680	which I downloaded just now
580680	584000	because I already have VS Code on my system.
586760	590400	So that's for Visual Studio Code.
593000	597560	So let's go ahead now, now that we've done that,
597560	602560	I'm gonna talk a little bit about some extensions
603960	606280	that we're gonna use in Visual Studio Code.
606280	609000	So let me bring up my terminal
609000	612240	and we don't need that.
612240	614280	Let's go and bring up Visual Studio Code.
615200	618520	And then I already actually have
618520	620800	so many Visual Studio Code windows open,
621720	623840	but I can just say new window.
623840	626680	So you see how Visual Studio Code looks like.
627880	631040	And then let's see, don't show again.
631040	633200	Okay, so this is pretty much how Visual Studio Code
633200	636200	looks like, so it's a very simple application to begin with.
637200	639240	Now, what we need to do for this example
639240	641200	is to enable a few extensions.
