start	end	text
0	8200	I'm just going to mark that as done that we've talked about it in notes, all right?
8200	12200	Now let's talk about cherry picking non-null values.
12200	25080	And what this means is with Dart, you can easily ask the language to give you values
25080	26400	that are not null.
26400	29340	And I'll explain what this actually means.
29340	42740	Let's say that you have a string, a final string, first name, and it is equal to foo.
42740	48060	Now let's just say this is a constant, all right?
48060	49980	That's what the suggestion was, you see?
49980	55540	I wrote final because I was not planning to reassign this first name value to anything
55980	63300	But then I got a suggestion to actually use the keyword const as you can see here.
63300	68580	So let's say const, all right?
68580	79500	Now what we want to do here, then, is to also create a last name or a middle name, r, and
79500	85500	then we say last name, and I have to change the last name to last name, right?
85500	91900	Actually, what we're going to do is we're going to say the first name is null, all right?
91900	96580	So first name null, middle name bar, and last name bass.
96580	102140	Now if you want to, if you have these values and you want to, for instance, I mean, right
102140	106220	now you can actually see the values that you put here, but sometimes these values are passed
106220	108900	to your function, so you don't know what they are.
108900	110780	Right now you can see what they are, so it's easy.
110780	115820	If I told you, pick the first non-null value, then you would say middle name because you
115820	116820	can see it.
116820	121420	However, if you had a function, for instance, test here that accepted those values, for
121420	129580	instance, string, first name, string, last name, and then string, or yeah, middle name,
129580	135700	etc., then you wouldn't know what those values are, or you cannot make an assumption about
135700	139940	what those values are except that they are nullable or optional strings.
139940	143140	So I hope that you get what I'm trying to say.
143140	149980	If someone told you to pick the first non-null value, one way to do that is, like the old
149980	162500	way of doing that is to say, if first name is not null, then you would say, oh, okay,
163220	171620	first name is the first non-null value, okay?
171620	178860	And then you say, okay, if first name isn't null, then we pick it, otherwise, else, if
178860	182740	middle name is not null, okay?
182740	190260	And then you say, okay, middle name is the first non-null value, and then else, if, again,
190340	195140	last name is not null, then you would print the same thing.
195140	196580	So this is very repetitive.
202660	207780	So it is basically very verbose in the way it is created.
209300	215220	There is a better way of doing this, and that is with the question mark, question mark operator
215300	220100	in Dart, which is available in some other programming languages such as Swift as well.
220980	225060	So the way to do that, then, is you would want to pick the first non-null value.
225060	233140	So you would say, final or const first non-null value, and you would say that's equal to first
233140	235540	name or or.
235540	241460	So this is kind of like question mark, question mark, middle name, and then question mark,
241460	242580	question mark, last name.
242740	247780	So, and, I mean, we're getting a warning here just because Dart understands already that
247780	254020	this middle name, although a, so, this is, although an optional, basically, it has a value.
254820	261220	But if we meet this null, so, and that warning goes away, but, I mean, it would probably
261220	265700	be cleaner if we actually pass these as parameters into this function so we don't get these weird
265700	266820	warnings.
266820	271220	But the way the question mark, question mark operator is working is that it says, it is
272180	277300	an infix operator, just so you know, in, from chapter four, you know, an infix operator is
277300	282500	an operator that has two things, one on each, on each side, the right and left.
283380	287140	So in this case, on the right side, we have middle name, and on the left side, we have
287140	287620	first name.
287620	293460	So what this operator does, it says, if the value on my left side is null, I'm going to
293460	294660	pick the value on my right.
295220	295540	Okay.
296580	300340	And let's now, in this case, say, okay, middle name is not null.
300340	303300	So what it does, it says, first name, are you null?
303300	304100	Yeah, you're null.
304100	305460	Then I'm going to go to the right side.
305460	306580	Middle name, are you null?
306580	307700	Nope, I'm not null.
307700	312660	Then it's going to pick that, and the rest of the statement is not going to be executed.
314180	319380	However, if middle name was also null in this case, then what happens is that it begins
319380	322260	from the left, it says, first name, are you null?
322260	322980	Yes.
322980	324420	Middle name, are you null?
324420	325140	Yes.
325140	331620	So this entire operation here, it doesn't yield any value.
332980	335780	So this entire operation will let me know.
335780	340660	So it says, okay, now I have to compare our left-hand side.
340660	341140	Are you null?
341140	343460	Yeah, we know that this entire thing was null.
344340	346580	And then it says, right-hand side, are you null?
346580	348180	Nope, I'm bass.
348180	349060	Then it picks bass.
349060	355700	So this question mark, question mark operator is a null-aware operator that picks either
355700	361940	the left side or the right side, whichever one is not null first in that order.
361940	363620	So left side, are you null?
364420	366180	If you're null, I go to the right side.
366180	369060	But if you're not null, I'll pick you.
370500	371780	So keep that in mind.
371780	377220	It is a very handy operator, and it will shorten your code quite a lot.
377220	377720	All right?
378520	382920	Now, if we then go in here and say first, null, null value, you can see it actually says,
382920	383880	oh, it's a string.
384840	393080	However, if these were parameters, so if we said first name, and then string, last name,
393080	399480	sorry, middle name, last name, so they were not provided to us like that,
401480	403560	contour was okay, and then we say final.
403560	412280	Now, if we say first, non-null value, in this case, since it is a normal case, excuse me,
413320	416360	where the Dart compiler isn't working with constants,
418760	423160	then it cannot resolve this to a constant value at the moment.
423160	425320	So it says, okay, there are three optional values.
425320	427080	I have no idea what they are.
427080	431560	So I'm going to do my best to pick the first non-null value depending on, I mean,
431560	433480	based on what we provided here.
434680	436920	However, I may not be able to solve this.
436920	442360	So the final result here, as you'll see, is an optional string, meaning that, well,
442360	447800	I may not be able to resolve this, meaning that this entire operation on top on line nine
447800	449400	may result in a null.
450680	451180	All right?
452600	453240	Sorry about that.
453240	454120	Sorry about my voice.
455560	459400	So that is the question mark, question mark operator.
459400	463560	So I'm just going to mark that we talked about it in my notes.
465400	465900	Okay.
467560	469240	So that was that.
471800	479320	Now, let's talk about the next topic, which is the null aware assignment operator.
479320	481480	I think that's its actual official name.
483480	487720	This operator is very similar to the question mark, question mark operator in that it
489640	494680	tries to resolve a variable to make sure it is not null.
495240	496280	It's going to do its best.
497080	498840	And let's have a look at an example.
498840	502840	Let's just say bar.
503640	510200	I'm going to say, actually, let's just say string and name is first name.
510200	515960	So we begin, we say that we have an optional name and we begin by assigning first name to it.
515960	521480	So it means that its name might, at the moment, depending on the value of first name, it may be
521480	521980	null.
522840	528040	Now, if that is null, you may want to assign another value to it.
528040	529000	All right?
529000	531000	And then you can do that with this operator.
531000	532200	You would say last name.
533880	534840	Let's see what happened here.
535720	538040	We'll try to, oh, is it this?
538040	539560	Yes, it is equal to.
539560	546520	So I actually should change this case to equal to question mark.
547560	548280	Yes.
548280	551800	And I'm going to bring it up again so that it is actually correct, let's say.
554440	557800	And then name equal to, isn't this working?
559160	563640	Last name, oh, where was it this one?
565320	566200	Try changing the,
566200	569640	is it like this?
571640	573320	I'm actually a bit unsure right now.
573320	575160	So let's have a look, actually, what this does.
577400	579000	And it's a three-positional.
579000	585080	And then we say null, null, null, and then bar, and then bass here, okay?
585080	590680	So first name is null, middle name is bar, and last name is bass.
590680	594280	And to be honest with you, I mean, this is quite a lot for me as well.
594280	598680	It is something that is like the syntax of the programming language.
598680	601480	It is something that you will kind of need to live with.
601480	605320	You're not going to memorize this all just in your head all the time.
605320	611240	Of course, like the main parts of it, you're going to remember, but not all of it.
611240	615640	So, and you can see for me as well, I'm just like at the moment, okay, which one is it?
616760	617720	So I'm going to test that.
617720	620840	So to begin with, we say name is first name.
620840	625800	And if that is null, then assign, actually, let's just say middle name,
627160	629960	name here, then use middle name, and then print the name finally.
630600	632200	And I can see it says bar here.
632200	634600	So it's actually question mark, question mark equal.
637080	641240	So I actually maybe need to edit this text one more time.
641240	644200	So I'm just going to say question mark, question mark equal.
645400	647960	Bring it up because I think question mark equal is not going to work.
647960	649880	An equal question mark isn't going to work either.
650840	651880	It's not a valid syntax.
651880	653240	So question mark, question mark equal.
653240	653880	Sorry about that.
654520	658600	So what this operator at the moment is doing is says that I'm going to take
658600	662040	the value on the left-hand side and check whether it is null or not.
662040	667480	If it is null, then I'm going to assign the value on the right-hand side to the left-hand side.
668680	671800	If it is not null, I'm going to leave it alone.
673480	677400	So at the moment, first name, as you saw here, is null,
677400	679080	the first parameter that we pass here.
679880	685240	What it says is, okay, I'm going to check then for middle name if name is null.
685240	686120	And it is null.
686120	689480	And then it says, okay, middle name, are you present there?
689480	690920	And then we'll assign that value here.
690920	697640	So it will be basically it will be bar, which is the value of the middle name.
698840	704280	Now, if we in here said middle name is also null,
705080	710920	right, you could have another operator here that says, okay, if after taking the middle name,
710920	713400	we are still null, then take the last name.
714600	719480	So, and you can see Baz gets printed to the screen.
719480	724680	And that is because because Baz is the last parameter that we're checking on line 10.
725400	726840	And its value is not null.
728360	733800	So you can see how like if I then went here and actually said the value is not null,
734040	735800	the first name is bar.
735800	739160	Then you will see that that will be the value that gets printed to the screen here.
740200	746920	Because right here, name or first name, which is bar, got assigned to name.
