start	end	text
0	7240	So, I think that's it for functions.
7240	12840	Now we've talked about functions, arguments, return values.
12840	20640	We talked about variables, constants, data types, and keywords in Dart.
20640	26320	These are such important parts of learning how to program with Dart and Flutter that
26320	28840	I think you need to spend some time and experiment with them.
28920	30360	Do some experimentations on your own.
32360	33960	Don't take just the first name and last name.
33960	37000	Just take, for instance, someone's address, someone's age,
38120	41960	play around a little bit with different data types like integers, different numbers.
41960	45880	Have a look at the link that I provided earlier, which was here.
45880	47560	I'll bring it up again so you can see that.
48520	53240	Have a look at this link and have a look at the different examples of different data types.
53320	60120	Because in the upcoming chapters and in the rest of this course,
60120	63480	we're going to play around with a lot of different types of data types.
64520	68680	I think it's important that you have a look a little bit at the documentation as well.
70840	75480	Let's leave this chapter at this point, and then in the next chapter,
75480	82040	we're going to talk a lot more about more advanced Dart programming language features.
82920	85880	Thank you for joining me for this chapter and see you in the next one.
87000	90840	Hello, everyone, and welcome to chapter four of this Flutter course.
91880	96680	In the previous chapter, chapter three, we talked about keywords, data types, constants,
96680	98680	variables, and some basics of functions.
99880	104840	In this chapter, we are going to, as you can see on the captions here,
104840	108840	we're going to focus on control statements and collections.
109800	117160	Now, I'm assuming you're following these chapters chronologically so that you're going
117800	123800	one by one. I'm assuming then that you have your Dart project set up and that you've got
123800	131240	some sort of a simulator or emulator running. Without further ado, let's have a look at...
131800	137320	I'm actually going to bring up the captions here, and then I'm going to put my face at
137480	145160	the bottom there and bring up our project that we created in the previous chapter up here.
146120	150840	This is running at the moment. If I do a command S or a control S on Linux and Windows,
151560	154040	then as you can see here, there is a run button.
155240	160280	Then it's just going to do a hot reload, which in turn calls this build function,
160280	163960	which we don't yet know really how it works because I haven't really explained it.
163960	170520	But what we did, we just called a print function here and then our get full name function.
173000	176520	What I'm going to do here is let's remove this code from the build,
177240	181320	and let's remove everything that we wrote here as well. Keep the main function,
181320	186120	as you can see here, and then keep your stateless widget, which we're going to talk about later.
187400	191800	Instead, go and create a new function that is called void test.
194760	200120	And then in the build function, just say test. Just like that.
201880	206920	The purpose is that in this function, we're going to write most of the code in this chapter.
206920	209960	We are going to basically test some code. That's the purpose of this function.
212280	220520	Let's talk about if and else. If and else are control statements in most programming languages
220520	227000	that allow you to branch your code based on a condition. So if we, for instance,
227000	233640	in here create a final variable whose value cannot be changed, if you remember from the
233640	236360	previous chapter, whose value cannot be changed after it's been assigned to,
237080	247720	let's say final name is foo, and end it with a semicolon. Now, an if statement basically allows
247720	257880	you to check the value or a condition to be of a certain value or to be true or false, and then it
257880	264840	allows you to execute some code, and then you can also append an else statement to it, which gets
264840	269960	executed if the code or if that condition is not met. I'm going to show you how that is written.
270840	278440	The syntax for an if statement is just if, and if is a keyword. So you would say if,
278440	284440	and then you would open and close parentheses, and then you would put curly brackets like this.
284440	288040	That's the syntax of if. And in the parentheses, you would put your condition.
288680	295640	So I would say in this case if name, and I would like to, for instance, check if name is foo.
296600	303080	Now, we haven't come to operators yet. We're going to talk about operators actually soon.
304280	311240	But this is, as you can see here, we're saying final name equal to foo. This is kind of like
312040	319880	an assignment operation, and that is an operator. In Dart, it's called an operator. So there is
319880	323960	also, and since this is an assignment, we don't want to actually assign anything to name. We want
324280	330600	to check if it's of a certain value, and that is with this conditional operator. Equal, equal.
332040	337080	And then you would just say, okay, if it's foo, then, for instance, print.
339560	346280	Yes, this is foo. And then a semicolon to end it. However, if this condition is not met,
346280	352680	you may want to execute another piece of code, and then you can just do else. Like that.
353960	361160	Then you would just say, no, this is not foo. And a semicolon. So I'm just going to do command S,
362200	366440	and you can see the value or the string, yes, this is foo printed to the screen,
366440	372920	or to the terminal here, or to the debug console. You can have multiple statements in here. So you
372920	377720	can have more print statements in here. You can just do anything you want basically in here.
378360	385720	And the same goes for else. Now, there is a possibility to write if statements kind of
385720	391080	without the curly brackets, but you don't see them that often, and I recommend that you actually
391080	396920	always try to, as a convention, do with the curly brackets if you can. However, it is possible that
396920	403160	inside a code base that you will work on with your colleagues, it is decided that it's okay to have
404120	409480	if statements without curly brackets where they are very simple and one-liners, basically.
410520	415320	So let me show you an example of that. You could just say, if name is foo,
417800	424200	and you would just say print, yes, this is foo. And this is completely accepted as well,
424200	431720	because it's a one-liner. But if you then say, okay, I want to have another line, print hello world,
433320	441080	you can see it goes to the next line, meaning that this line right here will be executed no matter
441080	445480	your condition up there. So this is completely detached from your if statement up here.
446840	450440	I just realized that it is quite important for me to be able to show line numbers.
451240	456120	And by default, your editor probably has line numbers enabled. I usually disable line numbers
456680	462360	when I'm working myself, basically. But when talking about code with other people,
462360	466200	it's quite useful to have line numbers, because I can then tell you, oh, look at line nine or
466200	476520	look at line 10. Okay. So that's the basic of if and else. Now, you can also have if right after
476520	486920	else. So an example of that is, for instance, to say if name is foo, and then you do some code,
486920	495720	all right? You say print, yes, it is foo. Not food. After the curly bracket, then you would say
495720	502840	else. And then you can then say another if, else if. All right? And then after if comes the
503400	508760	parenthesis and a curly bracket, if you remember from the if before. It is the exact same syntax
508760	514760	as it is here. So there's pretty much no difference. You can see if and then if.
515720	521160	And then you put your condition in here. You would just say if name. And then you may just want to
521160	528760	say is not. And that's another operator. It's basically is a not operator. So it's checking
528760	534120	to make sure that this name is not of the value that you provide to the right-hand side.
535000	545640	And then you can say bar. And print. This value is not bar. Else. And then you can wrap it up,
545640	554200	and you can say print. I don't know what this is. Now, I'm so glad I actually accidentally ran into
554200	559240	this issue. As you can see now, the editor is kind of going crazy, and Dart's not understanding
559240	564840	and Dart's not understanding what this statement is. And as we talked about it previously,
566120	572520	strings in Dart are preferred to have to be kind of like created with single codes. However,
572520	577720	if your string in itself contains a single code, for instance, in this case, the word don't
579080	585720	contains a single code, then Dart kind of gets confused. Like, okay, does the string end here?
585720	591720	You can see up until this point, it's green. So it's thinking, oh, the string ends here,
591720	598200	but what is all of this then? That follows. If you have that problem, there are two ways of
598200	608680	fixing that. Either you escape your single code, and that is a software kind of development lingo.
608680	618520	Escape. If you hear that, it pretty much just means that you are kind of wrapping it in a way
619560	624360	that Dart understands that you don't mean it literally. You don't mean that I want to
624360	629720	end my string here, except that this needs to be escaped and put in the string as its own value.
629720	634920	Basically, it's kind of difficult to explain, but I think you know what I mean. So that's one way
634920	640200	of doing it. It's a little bit dirty. So in case you run into this issue, it's best to actually
640200	645640	wrap your entire string in double quotes. And this way, then Dart understands that whatever
645640	651800	comes in here is okay. Like a single code is completely okay. Unless you actually want to have
652440	659480	a double quotes in your string that is enclosed with double quotes again. So you'll see if I
659480	664680	put a double quote here, then Dart goes crazy. So you can escape it with a backslash like that.
665720	670440	So if you have single quotes and double quotes in your string, then you will have to kind of
670440	675240	pick a convention. Either you enclose the entire string in single quotes and escape your single
675240	681560	quotes inside that string and let the double quotes live, or you enclose your entire string
681560	690360	in double quotes and then you will escape your double quotes in the string. I hope that makes
690360	700680	sense. So that is if and else in a nutshell. But before I move on, I kind of want to explain
700680	705800	an important concept here in that when Dart executes this code, it kind of goes by line by
705800	711320	line. So it starts with line seven, the execution of this test function. Then it comes here and
711320	717560	it says, okay, name is foo, all right. And it's actually saying that we prefer const. So let me
717560	727080	change that to const. And it says, okay, if name is foo, all right, then it comes over here. But
727080	735000	let's just change that to foo with triple o. Actually, yeah, no, let's not do that. Let's
735000	742440	keep it as foo. So it says if name is foo. Then it says, yeah, that's true. And then it goes here.
742440	751720	However, as you can see, the line number 11 also says if name is not bar, then it should execute
751720	759960	this as well. And you can see that foo is not bar. So this condition is also true. However,
759960	767080	this will never be executed. And that is because when Dart goes inside these curly brackets,
767080	771800	then it says, okay, I did what I had to do. I did my print statement. The rest I ignore.
772680	780600	So an if statement is kind of like, it puts a stop. When it falls into one of these if statements,
780600	787000	it kind of says, okay, I did my job in this entire if else block, then I will execute the code after
787000	792680	that. So if I clear the console here and press command S, you can see it only says yes, it is foo.
792680	801400	It doesn't come here. However, if you change this condition so that the Dart compiler or
802040	806760	basically the execution of the program doesn't fall into line number 10, it will eventually fall
806760	812600	to line number 12. So you can see it says this value is not bar. So when you're writing your if
812600	816840	statement and else statements, just be careful with that. Just know that it's kind of like as
816840	822040	soon as the code jumps into one of those branches, it doesn't go to the rest of the branches and
822040	836520	checks them basically. All right. Okay. That was for if and else. Now let me check that in my notes
836520	847640	that we've talked about that. What we need to do now is to talk about operators. Operators,
847720	854600	there are three different types of operators. There are prefix operators, infix operators,
854600	867320	and suffix operators. And I will explain them to you how they work. I think to explain operators
867320	872120	probably is best that we talk about numbers. So let's go in this test function and delete
872280	877480	in this test function and delete everything that we've written here. And let me just say final
878840	887160	age is 20. All right. So now we created a variable whose value cannot be changed after
887160	892440	it's been assigned to because we create as a final a variable whose value is 20. All right.
892440	898440	Now if you want to calculate half of this value, how would you do that? Well, there is an operator
898440	905800	for that and that is a division operator. So you would just say, for instance, final half of age.
905800	910600	As you can see, we're using camel case as I explained in the previous chapter. An easy way
910600	919400	to do camel case is to say half of age is writing in English, change the first letter of like this
919400	923880	here. Change the first letter of all the words except for the first word to uppercase and then
923880	930200	remove all the spaces. That's camel case. So half of age is age. And then there is a great
930200	937480	operator in Dart called a division operator. And then you would say two. All right. And then
937480	946200	you could just say print half of age. So command S. And that says 10. All right. So that's the
946200	952440	division operator. And then you will have, let's say, final double the age.
954840	961480	And then we will say age multiplied by two. It's kind of like a star. That is an operator. And you
961480	970600	can see these both operators, this one, the division and the multiplication, multiplication,
970680	977560	it's a bit difficult to say, operators are infix operators. And an infix operator is an operator
977560	981880	that has two parameters, one to its right and one to its left. I don't know how you can actually,
982600	989080	yeah, one to each side. I don't know if my video is mirrored. So if my right hand is actually
989080	994920	right hand on your side as well. So I don't know. Yes, it is probably. So
994920	1004920	these are infix operators when they have two values, one to each side. However, they're also
1007000	1015080	prefix operators. And an example of that is, for instance, if I said final, age minus one.
1016440	1024440	Actually, we change this to var. I'll explain soon why. And if we said minus, minus age,
1025640	1031880	now, this is an example of a prefix operator. And a prefix operator is an operator that
1032440	1039320	it comes before whatever it has to do its work on. And in this case, this minus,
1039320	1043160	minus operator, what it does is that it takes the value that comes after it,
1044440	1052600	it decreases that value by one, and then it returns its result back to the left-hand side.
1052600	1058760	So in this case, the interpreter comes here and says, okay, you want to calculate something.
1058760	1065800	Okay. It's equal to, oh, a prefix operator that takes a variable here. And it says, okay,
1065800	1075000	what is age? It's 20. Minus one is 19. Puts it in here. And it also puts that 19 in an age. So
1075640	1081640	I think so, at least. So if we say print age and print age minus one, now both should kind of be
1081640	1089160	19. And you can see it says twice. You see two, 19. So that kind of means it's twice. So Flutter
1089160	1094440	has this great ability not to duplicate, basically, log statements or print statements.
1096360	1102920	So we have, I mean, there are some really great operators in Dart. And that is the plus operator.
1104120	1110040	And then you have the minus division multiplication. And then you have the logical
1110600	1114920	operators to check if a value from the left is equal to the value to the right. So
1115720	1121880	these are the basics of the operators in Dart. So you don't have to know so much more about these
1121880	1130120	for now. I would say you can get really far with these. And a lot of these operators actually work
1130120	1136760	not only on numbers, but also on strings. And for instance, this is one of the cool features of Dart,
1136760	1142040	which I absolutely love. I think it was just such a great idea for them to implement this.
1144920	1149320	If you're not coming from a software development background, you may not know this. But if you're
1149320	1152680	coming, for instance, from a design background, also, you would notice that sometimes when you're
1152680	1159080	creating designs or any screen and you want to show that design to someone, like a product owner,
1159960	1165080	you want to actually populate the text inside your design with some lorem ipsum.
1165880	1171000	And lorem ipsum basically has a huge history of where it comes from. But it's usually some sort
1171000	1177160	of a dummy text that you want to place inside your design so that you can display and show it to
1177160	1182760	someone. And a lot of developers, like in many languages, when they want to display some text
1182760	1186760	and they don't know what to say, like, we're just testing stuff. I just want to display some text.
1186760	1193400	They go and grab lorem ipsum and then put it in their code. But Dart has gone to the next step
1193400	1197800	and said, OK, we don't need that. So what you can do, you can say, for instance, name is foo.
1199240	1208040	That's a string name. But you can say name times 20 is name times 20. You can literally say multiply
1208040	1216200	a string by 20. And what that does is that it says foo 20 times. So if I say print name times 20,
1217000	1222920	you can see it says foo 20 times. So it's a great feature. You can say foo, bar,
1222920	1229400	baz, and then just say times 100. And yeah, it just, that's it,
1229400	1239960	copies it for you 100 times in names time 100, for instance. So that is a, that is
1240120	1247880	shortly said, that is the basics of operators in Dart. OK, I'm going to delete that code.
1249560	1259160	I'm going to mark in my notes that we've talked about that. Now, I'm just going to quickly also
1260120	1271560	mention that we can also create custom operators, to be honest with you. And I don't think it is
1271560	1278760	completely all right right now to talk about custom operators. I think it's kind of like a topic to
1278760	1283640	talk about later. So I actually just moved it in my notes that we don't need to talk about it right
1283720	1289640	now because we have to know a little bit about classes and objects so that we can,
1289640	1293640	after we've created our own class, then we can create custom operators as well. So
1294680	1298280	I don't think it's completely appropriate to talk about right now. But just know that
1298280	1302680	in the future, you can also create your own operators and then like, or you can also
1302680	1307400	override like different operators and how they work with different objects. So it is really fun.
1308200	1313800	But that's that. Let's just leave operators to that for now.
1315800	1319160	Now, the next topic that I wanted to talk about is lists.
1321400	1333560	And lists in Dart is a series of things that are similar to each other and they are placed inside
1333560	1338360	a list, as you would have, for instance, on a piece of paper and you could write your shopping
1338360	1347320	list or like a Christmas shopping list or whatever, and it's numbered. So these are called lists in
1347320	1358280	Dart. So for instance, if you say foo, and then bar, and then baz. As you can see, Dart doesn't
1358840	1362280	like this syntax at the moment. It says, okay, what are these? Like, what is this
1364280	1370920	comma here? The way to tell Dart that this is a list of things that are like in place one,
1370920	1377720	two, three is by placing them inside square brackets and then a semicolon, of course.
1378120	1387080	Now, as I've talked about it before, just now, actually, lists have indexes in that they all
1387080	1392920	have their own placement inside the list. All these objects, as we call them, they have their
1392920	1400200	placements inside the list. And you may think that object number one is foo and then object number
1400200	1407720	two is bar and number three is baz. And that's correct. But indexes in, I mean, all the programming
